Zeit;Kanal A
(ms);(V)

-5,00007005;1,04100025
-4,99996605;1,08836734
-4,99986205;1,04100025
-4,99975805;1,04100025
-4,99965405;1,04100025
-4,99955005;1,08836734
-4,99944605;1,08836734
-4,99934205;1,04100025
-4,99923805;1,04100025
-4,99913405;1,08836734
-4,99903005;1,04100025
-4,99892605;1,08836734
-4,99882205;1,18294787
-4,99871805;1,04100025
-4,99861405;1,08836734
-4,99851005;1,08836734
-4,99840605;1,04100025
-4,99830205;1,04100025
-4,99819805;1,08836734
-4,99809405;1,08836734
-4,99799005;1,08836734
-4,99788605;1,04100025
-4,99778205;1,08836734
-4,99767805;1,08836734
-4,99757405;1,04100025
-4,99747005;1,04100025
-4,99736605;1,08836734
-4,99726205;1,08836734
-4,99715805;1,08836734
-4,99705405;1,08836734
-4,99695005;1,04100025
-4,99684605;1,08836734
-4,99674205;1,04100025
-4,99663805;1,04100025
-4,99653405;1,08836734
-4,99643005;1,08836734
-4,99632605;1,04100025
-4,99622205;1,04100025
-4,99611805;1,08836734
-4,99601405;1,04100025
-4,99591005;1,08836734
-4,99580605;1,04100025
-4,99570205;1,04100025
-4,99559805;1,13573444
-4,99549405;1,08836734
-4,99539005;1,08836734
-4,99528605;1,08836734
-4,99518205;1,08836734
-4,99507805;1,04100025
-4,99497405;1,04100025
-4,99487005;1,08836734
-4,99476605;1,08836734
-4,99466205;1,08836734
-4,99455805;1,04100025
-4,99445405;1,04100025
-4,99435005;1,08836734
-4,99424605;1,08836734
-4,99414205;1,08836734
-4,99403805;1,04100025
-4,99393405;1,08836734
-4,99383005;1,04100025
-4,99372605;1,04100025
-4,99362205;1,04100025
-4,99351805;1,08836734
-4,99341405;1,04100025
-4,99331005;1,08836734
-4,99320605;1,04100025
-4,99310205;1,08836734
-4,99299805;1,04100025
-4,99289405;1,08836734
-4,99279005;1,04100025
-4,99268605;1,08836734
-4,99258205;1,08836734
-4,99247805;1,08836734
-4,99237405;1,04100025
-4,99227005;1,08836734
-4,99216605;1,04100025
-4,99206205;1,08836734
-4,99195805;1,08836734
-4,99185405;1,08836734
-4,99175005;1,04100025
-4,99164605;1,08836734
-4,99154205;1,04100025
-4,99143805;1,08836734
-4,99133405;1,04100025
-4,99123005;1,08836734
-4,99112605;1,08836734
-4,99102205;1,08836734
-4,99091805;1,04100025
-4,99081405;1,08836734
-4,99071005;1,04100025
-4,99060605;1,08836734
-4,99050205;1,08836734
-4,99039805;1,08836734
-4,99029405;1,08836734
-4,99019005;1,08836734
-4,99008605;1,04100025
-4,98998205;1,04100025
-4,98987805;1,04100025
-4,98977405;1,08836734
-4,98967005;1,04100025
-4,98956605;1,08836734
-4,98946205;1,04100025
-4,98935805;1,04100025
-4,98925405;1,04100025
-4,98915005;1,08836734
-4,98904605;1,04100025
-4,98894205;1,08836734
-4,98883805;1,04100025
-4,98873405;1,08836734
-4,98863005;1,04100025
-4,98852605;1,08836734
-4,98842205;1,04100025
-4,98831805;1,08836734
-4,98821405;1,08836734
-4,98811005;1,08836734
-4,98800605;1,08836734
-4,98790205;1,04100025
