Zeit;Kanal A
(ms);(V)

-5,00008565;0,66252458
-4,99998165;0,61515749
-4,99987765;0,66252458
-4,99977365;0,66252458
-4,99966965;0,66252458
-4,99956565;0,66252458
-4,99946165;0,66252458
-4,99935765;0,66252458
-4,99925365;0,66252458
-4,99914965;0,66252458
-4,99904565;0,66252458
-4,99894165;0,66252458
-4,99883765;0,66252458
-4,99873365;0,66252458
-4,99862965;0,66252458
-4,99852565;0,66252458
-4,99842165;0,66252458
-4,99831765;0,66252458
-4,99821365;0,66252458
-4,99810965;0,66252458
-4,99800565;0,66252458
-4,99790165;0,66252458
-4,99779765;0,70973796
-4,99769365;0,61515749
-4,99758965;0,66252458
-4,99748565;0,66252458
-4,99738165;0,66252458
-4,99727765;0,66252458
-4,99717365;0,66252458
-4,99706965;0,66252458
-4,99696565;0,66252458
-4,99686165;0,61515749
-4,99675765;0,66252458
-4,99665365;0,66252458
-4,99654965;0,66252458
-4,99644565;0,66252458
-4,99634165;0,66252458
-4,99623765;0,66252458
-4,99613365;0,66252458
-4,99602965;0,61515749
-4,99592565;0,61515749
-4,99582165;0,66252458
-4,99571765;0,66252458
-4,99561365;0,66252458
-4,99550965;0,66252458
-4,99540565;0,61515749
-4,99530165;0,66252458
-4,99519765;0,66252458
-4,99509365;0,66252458
-4,99498965;0,66252458
-4,99488565;0,66252458
-4,99478165;0,66252458
-4,99467765;0,66252458
-4,99457365;0,66252458
-4,99446965;0,66252458
-4,99436565;0,66252458
-4,99426165;0,66252458
-4,99415765;0,66252458
-4,99405365;0,66252458
-4,99394965;0,66252458
-4,99384565;0,66252458
-4,99374165;0,61515749
-4,99363765;0,70973796
-4,99353365;0,66252458
-4,99342965;0,66252458
-4,99332565;0,66252458
-4,99322165;0,66252458
-4,99311765;0,66252458
-4,99301365;0,66252458
-4,99290965;0,66252458
-4,99280565;0,66252458
-4,99270165;0,61515749
-4,99259765;0,66252458
-4,99249365;0,66252458
-4,99238965;0,66252458
-4,99228565;0,66252458
-4,99218165;0,66252458
-4,99207765;0,66252458
-4,99197365;0,66252458
-4,99186965;0,66252458
-4,99176565;0,66252458
-4,99166165;0,66252458
-4,99155765;0,66252458
-4,99145365;0,66252458
-4,99134965;0,66252458
-4,99124565;0,61515749
-4,99114165;0,66252458
-4,99103765;0,66252458
-4,99093365;0,66252458
-4,99082965;0,66252458
-4,99072565;0,66252458
-4,99062165;0,66252458
-4,99051765;0,66252458
-4,99041365;0,66252458
-4,99030965;0,66252458
-4,99020565;0,66252458
-4,99010165;0,66252458
-4,98999765;0,61515749
-4,98989365;0,66252458
-4,98978965;0,66252458
-4,98968565;0,66252458
-4,98958165;0,66252458
-4,98947765;0,66252458
-4,98937365;0,66252458
-4,98926965;0,66252458
-4,98916565;0,66252458
-4,98906165;0,66252458
-4,98895765;0,66252458
-4,98885365;0,80447221
-4,98874965;0,66252458
-4,98864565;0,70973796
-4,98854165;0,66252458
-4,98843765;0,66252458
-4,98833365;0,61515749
-4,98822965;0,66252458
-4,98812565;0,66252458
-4,98802165;0,66252458
-4,98791765;0,66252458
